,stem,image_path,mask_coral_path,coral_coverage,source,split
0,C10_BC_PM_T1_29nov24_CDaza_corr,data\coral_bleaching\images\C10_BC_PM_T1_29nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C10_BC_PM_T1_29nov24_CDaza_corr.png,0.674,coral_bleaching_reefsupport,train
1,C10_BC_PM_T2_29nov24_CDaza_corr,data\coral_bleaching\images\C10_BC_PM_T2_29nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C10_BC_PM_T2_29nov24_CDaza_corr.png,0.241,coral_bleaching_reefsupport,train
2,C10_BC_PM_T3_29nov24_CDaza_corr,data\coral_bleaching\images\C10_BC_PM_T3_29nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C10_BC_PM_T3_29nov24_CDaza_corr.png,0.519,coral_bleaching_reefsupport,train
3,C10_BC_PP_T1_29nov24_HBenavides_corr,data\coral_bleaching\images\C10_BC_PP_T1_29nov24_HBenavides_corr.jpg,data\coral_bleaching\masks_coral\C10_BC_PP_T1_29nov24_HBenavides_corr.png,0.293,coral_bleaching_reefsupport,train
4,C10_BC_PP_T2_29nov24_HBenavides_corr,data\coral_bleaching\images\C10_BC_PP_T2_29nov24_HBenavides_corr.jpg,data\coral_bleaching\masks_coral\C10_BC_PP_T2_29nov24_HBenavides_corr.png,0.45,coral_bleaching_reefsupport,train
5,C10_BC_PP_T3_29nov24_HBenavides_corr,data\coral_bleaching\images\C10_BC_PP_T3_29nov24_HBenavides_corr.jpg,data\coral_bleaching\masks_coral\C10_BC_PP_T3_29nov24_HBenavides_corr.png,0.567,coral_bleaching_reefsupport,train
6,C10_BC_PSb_T1_29nov24_HBenavides_corr,data\coral_bleaching\images\C10_BC_PSb_T1_29nov24_HBenavides_corr.jpg,data\coral_bleaching\masks_coral\C10_BC_PSb_T1_29nov24_HBenavides_corr.png,0.295,coral_bleaching_reefsupport,train
7,C10_BC_PSb_T2_29nov24_HBenavides_corr,data\coral_bleaching\images\C10_BC_PSb_T2_29nov24_HBenavides_corr.jpg,data\coral_bleaching\masks_coral\C10_BC_PSb_T2_29nov24_HBenavides_corr.png,0.475,coral_bleaching_reefsupport,train
8,C10_Gr_PM_T1_30nov24_CGomez_corr,data\coral_bleaching\images\C10_Gr_PM_T1_30nov24_CGomez_corr.jpg,data\coral_bleaching\masks_coral\C10_Gr_PM_T1_30nov24_CGomez_corr.png,0.49,coral_bleaching_reefsupport,train
9,C10_Gr_PM_T2_30nov24_CGomez_corr,data\coral_bleaching\images\C10_Gr_PM_T2_30nov24_CGomez_corr.jpg,data\coral_bleaching\masks_coral\C10_Gr_PM_T2_30nov24_CGomez_corr.png,0.181,coral_bleaching_reefsupport,train
