stem,image_path,mask_coral_path,source,split
C10_BC_PM_T1_29nov24_CDaza_corr,data\final_dataset\train\images\C10_BC_PM_T1_29nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C10_BC_PM_T1_29nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C10_BC_PM_T2_29nov24_CDaza_corr,data\final_dataset\train\images\C10_BC_PM_T2_29nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C10_BC_PM_T2_29nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C10_BC_PM_T3_29nov24_CDaza_corr,data\final_dataset\train\images\C10_BC_PM_T3_29nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C10_BC_PM_T3_29nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C10_BC_PP_T1_29nov24_HBenavides_corr,data\final_dataset\train\images\C10_BC_PP_T1_29nov24_HBenavides_corr.jpg,data\final_dataset\train\masks_coral\C10_BC_PP_T1_29nov24_HBenavides_corr.png,coral_bleaching_reefsupport,train
C10_BC_PP_T2_29nov24_HBenavides_corr,data\final_dataset\train\images\C10_BC_PP_T2_29nov24_HBenavides_corr.jpg,data\final_dataset\train\masks_coral\C10_BC_PP_T2_29nov24_HBenavides_corr.png,coral_bleaching_reefsupport,train
C10_BC_PP_T3_29nov24_HBenavides_corr,data\final_dataset\train\images\C10_BC_PP_T3_29nov24_HBenavides_corr.jpg,data\final_dataset\train\masks_coral\C10_BC_PP_T3_29nov24_HBenavides_corr.png,coral_bleaching_reefsupport,train
C10_BC_PSb_T1_29nov24_HBenavides_corr,data\final_dataset\train\images\C10_BC_PSb_T1_29nov24_HBenavides_corr.jpg,data\final_dataset\train\masks_coral\C10_BC_PSb_T1_29nov24_HBenavides_corr.png,coral_bleaching_reefsupport,train
C10_BC_PSb_T2_29nov24_HBenavides_corr,data\final_dataset\train\images\C10_BC_PSb_T2_29nov24_HBenavides_corr.jpg,data\final_dataset\train\masks_coral\C10_BC_PSb_T2_29nov24_HBenavides_corr.png,coral_bleaching_reefsupport,train
C10_Gr_PM_T1_30nov24_CGomez_corr,data\final_dataset\train\images\C10_Gr_PM_T1_30nov24_CGomez_corr.jpg,data\final_dataset\train\masks_coral\C10_Gr_PM_T1_30nov24_CGomez_corr.png,coral_bleaching_reefsupport,train
C10_Gr_PM_T2_30nov24_CGomez_corr,data\final_dataset\train\images\C10_Gr_PM_T2_30nov24_CGomez_corr.jpg,data\final_dataset\train\masks_coral\C10_Gr_PM_T2_30nov24_CGomez_corr.png,coral_bleaching_reefsupport,train
C10_Gr_PM_T3_30nov24_CGomez_corr,data\final_dataset\train\images\C10_Gr_PM_T3_30nov24_CGomez_corr.jpg,data\final_dataset\train\masks_coral\C10_Gr_PM_T3_30nov24_CGomez_corr.png,coral_bleaching_reefsupport,train
C10_Gr_PP_T1_30nov24_HBenavides_corr,data\final_dataset\train\images\C10_Gr_PP_T1_30nov24_HBenavides_corr.jpg,data\final_dataset\train\masks_coral\C10_Gr_PP_T1_30nov24_HBenavides_corr.png,coral_bleaching_reefsupport,train
C10_Gr_PP_T2_30nov24_HBenavides_corr,data\final_dataset\train\images\C10_Gr_PP_T2_30nov24_HBenavides_corr.jpg,data\final_dataset\train\masks_coral\C10_Gr_PP_T2_30nov24_HBenavides_corr.png,coral_bleaching_reefsupport,train
C10_Gr_PP_T3_30nov24_HBenavides_corr,data\final_dataset\train\images\C10_Gr_PP_T3_30nov24_HBenavides_corr.jpg,data\final_dataset\train\masks_coral\C10_Gr_PP_T3_30nov24_HBenavides_corr.png,coral_bleaching_reefsupport,train
C10_Gr_PSa_T1_30nov24_CDaza_corr,data\final_dataset\train\images\C10_Gr_PSa_T1_30nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C10_Gr_PSa_T1_30nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
